> Output metrics for KIDSpec Simulation of object HD212442

Date run: 2022-03-18 13:43:12.343002 

> Input Parameters for simulation and instrument: 

Telescope mirror diameter: 800 cm 
Exposure time: 60 s 
Seeing: 0.8 arcseconds 
Airmass: 1.5 

Slit width: 0.60 arcseconds 
Slit length: 0.60 arcseconds 
Slicers: 1 

KIDSpec grating incidence angle: 25.0 deg 
KIDSpec grating blaze angle: 25.0 deg 
KIDSpec grating grooves: 241.5 /mm 

Number of spectral pixels in each arm: 3200 
Pixel plate scale: 0.3 
Chosen MKID energy resolution at fiducial point: 30 
Number of dead spectal pixels in KIDSpec: 0 
MKID energy resolution at fiducial point standard deviation for KIDSpec: 0.00 

Simulation spectrum magnitudes:
U --> N/A 
B --> 7.944673698523132 
V --> 7.383696992299125 
R --> 7.277971990081985 
I --> 7.283960993379061 
Z --> 7.16397736429389 
Y --> 7.1436008017933625 
J --> 6.522886588640718 
H --> N/A 
K --> N/A 
L --> N/A 
M --> N/A 
N --> N/A 
Q --> N/A 
Flux reduced by factor of 1.00000
Spectrum redshifted by 0.000

> Result parameters: 

OPT orders observed: 10 
IR orders observed: 1 
 
Wavelength range tested: 350 - 1900 nm 
Recreated spectrum resolution: 4278 - 5878 
Recreated spectrum resolution average: 5078 +/- 799 
Average residuals: (7.374 +/- 2.591)% 
R value: 0.965 
Average SNR: 1087.200 +/- 0.000 
Percentage of photons which were misidentified (total): 0.00017873
Percentage of photons which were misidentified (average per pixel): 0.00000966

Simulation run duration: 0:06:34.201312 (hours:minutes:seconds)

Saturated pixels in OPT/Single arm:
Pixel Number 328 :   4849625 / 60000 photons
Pixel Number 329 :   5106104 / 60000 photons
Pixel Number 330 :   5624011 / 60000 photons
Pixel Number 331 :   5020768 / 60000 photons
Pixel Number 332 :   5387102 / 60000 photons
Pixel Number 333 :   5777554 / 60000 photons
Pixel Number 334 :   6305843 / 60000 photons
Pixel Number 335 :   6270054 / 60000 photons
Pixel Number 336 :   6270716 / 60000 photons
Pixel Number 337 :   5731370 / 60000 photons
Pixel Number 338 :   5375556 / 60000 photons
Pixel Number 339 :   5789726 / 60000 photons
Pixel Number 340 :   5459856 / 60000 photons
Pixel Number 341 :   4921526 / 60000 photons
Pixel Number 342 :   5119152 / 60000 photons
Pixel Number 343 :   5754165 / 60000 photons
Pixel Number 344 :   5612764 / 60000 photons
Pixel Number 345 :   4897170 / 60000 photons
Pixel Number 346 :   5066367 / 60000 photons
Pixel Number 347 :   5374529 / 60000 photons
Pixel Number 348 :   5995448 / 60000 photons
Pixel Number 349 :   5169082 / 60000 photons
Pixel Number 350 :   4905689 / 60000 photons
Pixel Number 351 :   4961377 / 60000 photons
Pixel Number 352 :   5824291 / 60000 photons
Pixel Number 353 :   5938578 / 60000 photons
Pixel Number 354 :   5229888 / 60000 photons
Pixel Number 355 :   4833789 / 60000 photons
Pixel Number 356 :   5213901 / 60000 photons
Pixel Number 357 :   5960401 / 60000 photons
Pixel Number 358 :   6160660 / 60000 photons
Pixel Number 359 :   5366419 / 60000 photons
Pixel Number 360 :   4953084 / 60000 photons
Pixel Number 361 :   5130608 / 60000 photons
Pixel Number 362 :   6031515 / 60000 photons
Pixel Number 363 :   6213818 / 60000 photons
Pixel Number 364 :   5949739 / 60000 photons
Pixel Number 365 :   5066218 / 60000 photons
Pixel Number 366 :   5171319 / 60000 photons
Pixel Number 367 :   5933995 / 60000 photons
Pixel Number 368 :   6273247 / 60000 photons
Pixel Number 369 :   6287380 / 60000 photons
Pixel Number 370 :   5698513 / 60000 photons
Pixel Number 371 :   5253031 / 60000 photons
Pixel Number 372 :   3084537 / 60000 photons
Pixel Number 373 :   3630409 / 60000 photons
Pixel Number 374 :   3910379 / 60000 photons
Pixel Number 375 :   3762372 / 60000 photons
Pixel Number 376 :   3307963 / 60000 photons
Pixel Number 377 :   3124098 / 60000 photons
Pixel Number 378 :   3143004 / 60000 photons
Pixel Number 379 :   3878876 / 60000 photons
Pixel Number 380 :   3979583 / 60000 photons
Pixel Number 381 :   3852870 / 60000 photons
Pixel Number 382 :   3569341 / 60000 photons
Pixel Number 383 :   3153288 / 60000 photons
Pixel Number 384 :   3350847 / 60000 photons
Pixel Number 385 :   3924359 / 60000 photons
Pixel Number 386 :   3901744 / 60000 photons
Pixel Number 387 :   4042978 / 60000 photons
Pixel Number 388 :   4105879 / 60000 photons
Pixel Number 389 :   3411305 / 60000 photons
Pixel Number 390 :   3456085 / 60000 photons
Pixel Number 391 :   3706972 / 60000 photons
Pixel Number 392 :   4072171 / 60000 photons
Pixel Number 393 :   4094530 / 60000 photons
Pixel Number 394 :   3967422 / 60000 photons
Pixel Number 395 :   3901573 / 60000 photons
Pixel Number 396 :   3646639 / 60000 photons
Pixel Number 397 :   3593307 / 60000 photons
Pixel Number 398 :   4162065 / 60000 photons
Pixel Number 399 :   3991043 / 60000 photons
Pixel Number 400 :   4123443 / 60000 photons
Pixel Number 401 :   4124664 / 60000 photons
Pixel Number 402 :   3853874 / 60000 photons
Pixel Number 403 :   3802490 / 60000 photons
Pixel Number 404 :   3739202 / 60000 photons
Pixel Number 405 :   4101438 / 60000 photons
Pixel Number 406 :   4151234 / 60000 photons
Pixel Number 407 :   4025803 / 60000 photons
Pixel Number 408 :   4161075 / 60000 photons
Pixel Number 409 :   4230311 / 60000 photons
Pixel Number 410 :   3837547 / 60000 photons
Pixel Number 411 :   3943654 / 60000 photons
Pixel Number 412 :   4005489 / 60000 photons
Pixel Number 413 :   4183359 / 60000 photons
Pixel Number 414 :   4179297 / 60000 photons
Pixel Number 415 :   4055660 / 60000 photons
Pixel Number 416 :   4195595 / 60000 photons
Pixel Number 417 :   4095674 / 60000 photons
Pixel Number 418 :   3937577 / 60000 photons
Pixel Number 419 :   4251604 / 60000 photons
Pixel Number 420 :   4085455 / 60000 photons
Pixel Number 421 :   4217895 / 60000 photons
Pixel Number 422 :   4215892 / 60000 photons
Pixel Number 423 :   4086976 / 60000 photons
Pixel Number 424 :   4205169 / 60000 photons
Pixel Number 425 :   4031304 / 60000 photons
Pixel Number 426 :   4131431 / 60000 photons
Pixel Number 427 :   4185926 / 60000 photons
Pixel Number 428 :   4091163 / 60000 photons
Pixel Number 429 :   4234323 / 60000 photons
Pixel Number 430 :   4379493 / 60000 photons
Pixel Number 431 :   4122741 / 60000 photons
Pixel Number 432 :   4272628 / 60000 photons
Pixel Number 433 :   4125107 / 60000 photons
Pixel Number 434 :   4256545 / 60000 photons
Pixel Number 435 :   4265784 / 60000 photons
Pixel Number 436 :   4172764 / 60000 photons
Pixel Number 437 :   4309597 / 60000 photons
Pixel Number 438 :   4311211 / 60000 photons
Pixel Number 439 :   4172688 / 60000 photons
