element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,
Th,1,"=""409.61977""","=""0.00005""","=""39""","=""""",,"=""3""","=""2""",,
Th,1,"=""409.63318""","=""0.00004""","=""60""","=""""",,"=""2""","=""2""",,
Th,1,"=""409.69331""","=""0.00004""","=""54""","=""""",,"=""2""","=""3""",,
Th,1,"=""409.731818""","=""0.000017""","=""490""","=""""",,"=""2""","=""3""",,
Th,1,"=""409.774717""","=""0.000004""","=""5700""","=""""",,"=""3""","=""4""",,
Th,1,"=""409.83952""","=""0.00005""","=""38""","=""""",,"=""6""","=""5""",,
Th,1,"=""409.84098""","=""0.00005""","=""29""","=""""",,"=""1""","=""2""",,
Th,1,"=""409.85282""","=""0.00007""","=""17""","=""""",,"=""3""","=""4""",,
Th,1,"=""409.87023""","=""0.00003""","=""75""","=""""",,"=""2""","=""3""",,
Th,1,"=""409.873141""","=""0.000022""","=""960""","=""""",,"=""3""","=""3""",,
Th,1,"=""409.92190""","=""0.00004""","=""56""","=""""",,"=""4""","=""5""",,
Th,1,"=""409.955272""","=""0.000015""","=""550bl""","=""""",,"=""2""","=""2""",,
Th,1,"=""409.96812""","=""0.00003""","=""120""","=""""",,"=""5""","=""5""",,
Th,1,"=""409.97848""","=""0.00007""","=""16""","=""""",,"=""1""","=""1""",,
Th,1,"=""409.999351""","=""0.000024""","=""170""","=""""",,"=""4""","=""4""",,
Th,1,"=""410.034121""","=""0.000003""","=""15000""","=""""",,"=""2""","=""2""",,
Th,1,"=""410.07966""","=""0.00005""","=""23""","=""""",,"=""3""","=""3 or 4""",,
Th,1,"=""410.091900""","=""0.000019""","=""370""","=""""",,"=""5""","=""5""",,
Th,1,"=""410.12345""","=""0.00004""","=""52""","=""""",,"=""5""","=""4""",,
Th,1,"=""410.22951""","=""0.00003""","=""79""","=""""",,"=""4""","=""4""",,
Th,1,"=""410.261766""","=""0.000010""","=""1600""","=""""",,"=""3""","=""2""",,
Th,1,"=""410.281984""","=""0.000022""","=""210""","=""""",,"=""2""","=""2""",,
Th,1,"=""410.36107""","=""0.00005""","=""19""","=""""",,"=""2""","=""1""",,
Th,1,"=""410.369398""","=""0.000022""","=""240""","=""""",,"=""2""","=""1""",,
Th,1,"=""410.39889""","=""0.00005""","=""29""","=""""",,"=""2""","=""3""",,
Th,1,"=""410.41008""","=""0.00005""","=""24""","=""""",,"=""1""","=""2""",,
Th,1,"=""410.483846""","=""0.000013""","=""720""","=""""",,"=""5""","=""6""",,
Th,1,"=""410.50631""","=""0.00003""","=""120""","=""""",,"=""3""","=""4""",,
Th,1,"=""410.54045""","=""0.00005""","=""27""","=""""",,"=""5""","=""4""",,
Th,1,"=""410.56526""","=""0.00003""","=""83""","=""""",,"=""1""","=""1""",,
Th,1,"=""410.58948""","=""0.00003""","=""170""","=""""",,"=""4""","=""4""",,
Th,1,"=""410.60350""","=""0.00003""","=""120""","=""""",,"=""3""","=""3""",,
Th,1,"=""410.615573""","=""0.000024""","=""170""","=""""",,"=""3""","=""4""",,
Th,1,"=""410.62114""","=""0.00003""","=""120""","=""""",,"=""0""","=""1""",,
Th,1,"=""410.62255""","=""0.00004""","=""64""","=""""",,"=""4""","=""3""",,
Th,1,"=""410.63521""","=""0.00004""","=""57""","=""""",,"=""3""","=""2""",,
Th,1,"=""410.65215""","=""0.00005""","=""19""","=""""",,"=""3""","=""4""",,
Th,1,"=""410.68557""","=""0.00005""","=""23""","=""""",,"=""4""","=""5""",,
Th,1,"=""410.68917""","=""0.00005""","=""20""","=""""",,"=""2""","=""2""",,
Th,1,"=""410.705051""","=""0.000013""","=""920""","=""""",,"=""1""","=""0""",,
