obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Type,
593.44522,0.00040,750,1.08e+06,C+,,
593.93154,0.00040,500,2.00e+05,B+,,
594.48340,0.00005,5000,1.13e+07,B+,,
596.16228,0.00004,700,2.28e+06,C+,,
596.54710,0.00004,5000,6.41e+06,C+,,
596.61790,0.00040,350,2.42e+05,C+,,
597.46273,0.00004,5000,6.06e+06,C+,,
597.55343,0.00005,6000,3.51e+06,B+,,
598.23753,0.00040,80,9.9e+04,C,,
598.79074,0.00004,1500,3.63e+06,C+,,
599.16477,0.00040,750,1.18e+06,C+,,
600.09275,0.00004,1000,1.14e+06,C+,,
602.99968,0.00005,10000,5.61e+06,B+,,
604.2013,0.0020,150,1.56e+05,C,,
604.61348,0.00004,500,2.26e+05,B+,,
606.45359,0.00004,500,1.64e+06,B+,,
607.43376,0.00005,10000,6.03e+07,B+,,
609.61630,0.00005,3000,1.81e+07,B+,,
611.80187,0.00040,150,6.09e+05,B+,,
612.84498,0.00004,1000,6.70e+05,B+,,
614.2508,0.0020,1000,1.64e+06,C+,,
614.30627,0.00005,10000,2.82e+07,B+,,
615.02985,0.00040,1000,1.33e+06,C+,,
615.61380,0.00040,500,1.72e+05,C,,
616.35937,0.00005,10000,1.46e+07,B+,,
617.28156,0.00040,150,4.27e+05,C,,
617.48829,0.00004,700,7.52e+05,C+,,
617.52842,0.00040,500,3.00e+05,C+,,
618.21460,0.00004,1500,3.72e+06,B+,,
618.31575,0.00040,50,1.18e+05,C,,
618.90649,0.00004,700,5.88e+05,C+,,
619.30663,0.00004,500,1.80e+05,C+,,
620.29740,0.00040,150,2.44e+05,C,,
620.57775,0.00004,1000,1.52e+06,C+,,
621.38758,0.00004,1500,2.85e+06,B+,,
621.72812,0.00005,10000,6.37e+06,B+,,
622.57350,0.00040,500,6.19e+05,C+,,
624.67294,0.00004,1000,7.97e+05,B+,,
624.9593,0.0020,50,,,,
625.2732,0.0020,20,,,,
625.87884,0.00040,1000,6.06e+05,C+,,
626.64952,0.00005,10000,2.49e+07,B+,,
627.30141,0.00040,700,9.94e+05,C+,,
627.60327,0.00040,500,1.25e+06,C+,,
629.37447,0.00004,1000,6.39e+05,B+,,
630.47893,0.00005,1000,4.16e+06,B+,,
631.36855,0.00040,1500,3.40e+06,B+,,
632.81646,0.00004,3000,3.39e+06,B+,,
633.08894,0.00040,1500,1.46e+06,B+,,
633.44276,0.00005,10000,1.61e+07,B+,,
635.18532,0.00040,1000,3.45e+05,B+,,
636.49963,0.00040,1000,1.60e+05,B+,,
638.29914,0.00005,10000,3.21e+07,B+,,
640.1076,0.0020,1000,1.39e+06,B+,,
640.22480,0.00010,20000,5.149e+07,AAA,,
640.97469,0.00040,1500,1.41e+06,B+,,
642.17044,0.00040,1000,2.10e+06,B+,,
644.47118,0.00004,1500,1.16e+06,B+,,
650.65277,0.00005,15000,3.00e+07,B+,,
653.28824,0.00005,1000,1.08e+07,B+,,
659.89528,0.00005,10000,2.32e+07,B+,,
660.29007,0.00040,1000,4.76e+05,B+,,
664.00095,0.00040,100,6.21e+04,B+,,
664.080,0.002,50,3.80e+03,C,,
665.20925,0.00004,1500,2.90e+05,B,,
666.6892,0.0007,1000,3.57e+05,B+,,
667.82766,0.00005,5000,2.33e+07,B+,,
671.70430,0.00005,700,2.17e+07,B+,,
672.11342,0.00050,20,5.15e+04,B+,,
673.80320,0.00050,700,1.25e+06,C+,,
675.95821,0.00050,150,1.60e+05,B+,,
692.94672,0.00004,100000,1.74e+07,B+,,
702.40500,0.00004,34000,1.89e+06,B+,,
703.24128,0.00004,85000,2.66e+07,B+,,
705.12922,0.00008,2200,2.38e+06,C+,,
705.91079,0.00004,10000,7.46e+06,B+,,
706.4762,0.0003,80,3.40e+04,C,,
711.23075,0.00008,110,6.28e+05,C+,,
713.85400,0.00011,55,2.20e+05,C+,,
717.39380,0.00004,77000,2.87e+06,B+,,
724.51665,0.00004,77000,1.01e+07,B+,,
730.48422,0.00008,89,2.55e+05,B+,,
743.88981,0.00004,60000,2.47e+06,B+,,
747.24383,0.00004,3100,2.96e+06,C+,,
748.88712,0.00004,32000,2.31e+07,B+,,
753.57739,0.00004,28000,3.06e+07,B+,,
754.40439,0.00004,13000,3.87e+07,B,,
762.133,0.002,50,,,,
772.46233,0.00009,60,1.58e+05,B+,,
783.30281,0.00009,56,3.68e+04,C,,
783.90520,0.00009,230,1.04e+05,C+,,
783.99855,0.00018,7,6.6e+03,C,,
792.71172,0.00004,300,3.48e+05,C+,,
793.69957,0.00009,1300,8.46e+05,B,,
794.31805,0.00004,7900,3.82e+06,C+,,
794.41404,0.00009,200,1.37e+05,C+,,
